Scan number,Frame,Detector horiz (x is positive left) in mm,Detector vertical (y is positive up) in mm,Detector trans x (mm),Detector trans y (mm),Detector trans x (px),Detector trans y (px) ,Beam centre horiz in px,Beam centre vertical in px,Pixel size in mm
109705,1,757.002,50.998,0,0,0,0,745.77,691.8,0.172
109633,1,878,-39.002,120.998,-90,703.476744186047,-523.255813953488,1449.24674418605,168.544186046512,
109634,1,841,-39.002,83.998,-90,488.360465116279,-523.255813953488,1234.13046511628,168.544186046512,
109635,1,803,-39.002,45.998,-90,267.43023255814,-523.255813953488,1013.20023255814,168.544186046512,
109636,1,793,-39.002,35.998,-90,209.290697674419,-523.255813953488,955.060697674419,168.544186046512,
109637,1,756,-39.002,-1.00199999999995,-90,-5.82558139534856,-523.255813953488,739.944418604651,168.544186046512,
109638,1,718,-39.002,-39.002,-90,-226.755813953488,-523.255813953488,519.014186046512,168.544186046512,
109639,1,708,-39.002,-49.002,-90,-284.895348837209,-523.255813953488,460.874651162791,168.544186046512,
109640,1,671,-39.002,-86.002,-90,-500.011627906977,-523.255813953488,245.758372093023,168.544186046512,
109641,1,633,-39.002,-124.002,-90,-720.941860465116,-523.255813953488,24.8281395348839,168.544186046512,
109642,1,878,-27.005,120.998,-78.003,703.476744186047,-453.505813953488,1449.24674418605,238.294186046512,
109643,1,841,-27.005,83.998,-78.003,488.360465116279,-453.505813953488,1234.13046511628,238.294186046512,
109644,1,803,-27.005,45.998,-78.003,267.43023255814,-453.505813953488,1013.20023255814,238.294186046512,
109645,1,793,-27.005,35.998,-78.003,209.290697674419,-453.505813953488,955.060697674419,238.294186046512,
109646,1,756,-27.005,-1.00199999999995,-78.003,-5.82558139534856,-453.505813953488,739.944418604651,238.294186046512,
109647,1,718,-27.005,-39.002,-78.003,-226.755813953488,-453.505813953488,519.014186046512,238.294186046512,
109648,1,708,-27.005,-49.002,-78.003,-284.895348837209,-453.505813953488,460.874651162791,238.294186046512,
109649,1,671,-27.005,-86.002,-78.003,-500.011627906977,-453.505813953488,245.758372093023,238.294186046512,
109650,1,633,-27.005,-124.002,-78.003,-720.941860465116,-453.505813953488,24.8281395348839,238.294186046512,
109651,1,878,-14.003,120.998,-65.001,703.476744186047,-377.912790697675,1449.24674418605,313.887209302325,
109652,1,841,-14.002,83.998,-65,488.360465116279,-377.906976744186,1234.13046511628,313.893023255814,
109653,1,803,-14.002,45.998,-65,267.43023255814,-377.906976744186,1013.20023255814,313.893023255814,
109654,1,793,-14.002,35.998,-65,209.290697674419,-377.906976744186,955.060697674419,313.893023255814,
109655,1,756,-14.002,-1.00199999999995,-65,-5.82558139534856,-377.906976744186,739.944418604651,313.893023255814,
109656,1,718,-14.002,-39.002,-65,-226.755813953488,-377.906976744186,519.014186046512,313.893023255814,
109657,1,708,-14.002,-49.002,-65,-284.895348837209,-377.906976744186,460.874651162791,313.893023255814,
109658,1,671,-14.002,-86.002,-65,-500.011627906977,-377.906976744186,245.758372093023,313.893023255814,
109659,1,633,-14.002,-124.002,-65,-720.941860465116,-377.906976744186,24.8281395348839,313.893023255814,
109660,1,878,-2.006,120.998,-53.004,703.476744186047,-308.162790697674,1449.24674418605,383.637209302326,
109661,1,841,-2.005,83.998,-53.003,488.360465116279,-308.156976744186,1234.13046511628,383.643023255814,
109662,1,803,-2.006,45.998,-53.004,267.43023255814,-308.162790697674,1013.20023255814,383.637209302326,
109663,1,793,-2.005,35.998,-53.003,209.290697674419,-308.156976744186,955.060697674419,383.643023255814,
109664,1,756,-2.005,-1.00199999999995,-53.003,-5.82558139534856,-308.156976744186,739.944418604651,383.643023255814,
109665,1,718,-2.005,-39.002,-53.003,-226.755813953488,-308.156976744186,519.014186046512,383.643023255814,
109666,1,708,-2.006,-49.002,-53.004,-284.895348837209,-308.162790697674,460.874651162791,383.637209302326,
109667,1,671,-2.005,-86.002,-53.003,-500.011627906977,-308.156976744186,245.758372093023,383.643023255814,
109668,1,633,-2.005,-124.002,-53.003,-720.941860465116,-308.156976744186,24.8281395348839,383.643023255814,
109669,1,878,8.994,120.998,-42.004,703.476744186047,-244.209302325581,1449.24674418605,447.590697674419,
109670,1,841,8.994,83.998,-42.004,488.360465116279,-244.209302325581,1234.13046511628,447.590697674419,
109671,1,803,8.994,45.998,-42.004,267.43023255814,-244.209302325581,1013.20023255814,447.590697674419,
109672,1,793,8.994,35.998,-42.004,209.290697674419,-244.209302325581,955.060697674419,447.590697674419,
109673,1,756,8.994,-1.00199999999995,-42.004,-5.82558139534856,-244.209302325581,739.944418604651,447.590697674419,
109674,1,718,8.994,-39.002,-42.004,-226.755813953488,-244.209302325581,519.014186046512,447.590697674419,
109675,1,708,8.994,-49.002,-42.004,-284.895348837209,-244.209302325581,460.874651162791,447.590697674419,
109676,1,671,8.994,-86.002,-42.004,-500.011627906977,-244.209302325581,245.758372093023,447.590697674419,
109677,1,633,8.994,-124.002,-42.004,-720.941860465116,-244.209302325581,24.8281395348839,447.590697674419,
109678,1,878,20.998,120.998,-30,703.476744186047,-174.418604651163,1449.24674418605,517.381395348837,
109679,1,841,20.998,83.998,-30,488.360465116279,-174.418604651163,1234.13046511628,517.381395348837,
109680,1,803,20.998,45.998,-30,267.43023255814,-174.418604651163,1013.20023255814,517.381395348837,
109681,1,793,20.998,35.998,-30,209.290697674419,-174.418604651163,955.060697674419,517.381395348837,
109682,1,756,20.998,-1.00199999999995,-30,-5.82558139534856,-174.418604651163,739.944418604651,517.381395348837,
109683,1,718,20.998,-39.002,-30,-226.755813953488,-174.418604651163,519.014186046512,517.381395348837,
109684,1,708,20.998,-49.002,-30,-284.895348837209,-174.418604651163,460.874651162791,517.381395348837,
109685,1,671,20.998,-86.002,-30,-500.011627906977,-174.418604651163,245.758372093023,517.381395348837,
109686,1,633,20.998,-124.002,-30,-720.941860465116,-174.418604651163,24.8281395348839,517.381395348837,
109687,1,878,33.995,120.998,-17.003,703.476744186047,-98.8546511627907,1449.24674418605,592.945348837209,
